,JP/US,JGB10,Nikkei/Close,S&P/Close,S&P/Volume,S&P/AdjClose,VIX/Close,JP/US.Lag,JGB10.Lag,Nikkei/Close.Lag,S&P/Close.Lag,S&P/Volume.Lag,S&P/AdjClose.Lag,VIX/Close.Lag,JP/US.MA30,JGB10.MA30,Nikkei/Close.MA30,S&P/Close.MA30,S&P/Volume.MA30,S&P/AdjClose.MA30,VIX/Close.MA30,JP/US.MA120,JGB10.MA120,Nikkei/Close.MA120,S&P/Close.MA120,S&P/Volume.MA120,S&P/AdjClose.MA120,VIX/Close.MA120
2001-06-20,123.3,1.201,12674.64,1223.140015,1350100000.0,1223.140015,12674.64,0.00268358136130753,0.029134532990574113,0.007982974743642846,0.008708752728219915,0.13942104818972068,0.008708752728219915,0.007982974743642846,121.58216666666665,1.2321000000000004,13461.619,1261.5076660499997,1102100000.0,1261.5076660499997,13461.619,120.2790833333333,1.3215541666666668,13386.140999999998,1254.8439605749993,1200070000.0,1254.8439605749993,13386.140999999998
2001-06-21,124.4,1.182,12962.43,1237.040039,1546820000.0,1237.040039,12962.43,0.008921330089213475,-0.01582014987510416,0.02270597034708688,0.011364213278559188,0.1457077253536776,0.011364213278559188,0.02270597034708688,121.6385,1.2287666666666672,13426.440333333334,1260.902998883333,1118437333.3333333,1260.902998883333,13426.440333333334,120.35349999999997,1.3177458333333334,13380.065499999997,1254.0414611833328,1195201833.3333333,1254.0414611833328,13380.065499999997
2001-06-22,124.25,1.171,13044.61,1225.349976,1189200000.0,1225.349976,13044.61,-0.001205787781350498,-0.009306260575296044,0.006339860658842511,-0.00945002799541561,-0.23119690720316521,-0.00945002799541561,0.006339860658842511,121.69683333333333,1.2252333333333338,13393.130000000001,1260.2256632833332,1127870666.6666667,1260.2256632833332,13393.130000000001,120.42066666666663,1.3139208333333334,13373.207166666663,1253.4331278499994,1193188500.0,1253.4331278499994,13373.207166666663
2001-06-25,124.02,1.144,12896.47,1218.599976,1050100000.0,1218.599976,12896.47,-0.0018511066398391174,-0.023057216054654273,-0.011356414641756296,-0.005508630295186778,-0.11696939118735283,-0.005508630295186778,-0.011356414641756296,121.72683333333333,1.2213000000000003,13360.578333333333,1259.2149943499999,1134267333.3333333,1259.2149943499999,13360.578333333333,120.48774999999998,1.3101416666666668,13366.18558333333,1252.7892944416662,1192643500.0,1252.7892944416662,13366.18558333333
2001-06-26,123.82,1.14,12978.82,1216.76001,1198900000.0,1216.76001,12978.82,-0.0016126431220770954,-0.0034965034965035446,0.0063854682715502875,-0.0015099015560787743,0.1417007904009142,-0.0015099015560787743,0.0063854682715502875,121.74549999999999,1.2167333333333337,13324.738,1258.1256633166665,1138504000.0,1258.1256633166665,13324.738,120.54758333333331,1.3066,13360.921499999997,1252.0889607833328,1192706833.3333333,1252.0889607833328,13360.921499999997
2001-06-27,124.25,1.133,12828.98,1211.069946,1162100000.0,1211.069946,12828.98,0.0034727830722016684,-0.0061403508771928905,-0.011544963255519347,-0.00467640615506415,-0.030694803569939144,-0.00467640615506415,-0.011544963255519347,121.76749999999998,1.2118000000000004,13295.894999999997,1255.66166185,1130397333.3333333,1255.66166185,13295.894999999997,120.61416666666665,1.3028666666666668,13355.890916666664,1251.2372934999994,1191586833.3333333,1251.2372934999994,13355.890916666664
2001-06-28,124.63,1.125,12679.88,1226.199951,1327300000.0,1226.199951,12679.88,0.003058350100603624,-0.007060900264783787,-0.0116221242842377,0.012493089313273975,0.14215644092590995,0.012493089313273975,-0.0116221242842377,121.8325,1.2066333333333337,13254.868666666665,1253.5853272166667,1129454000.0,1253.5853272166667,13254.868666666665,120.67308333333331,1.2995833333333335,13351.547666666662,1250.398793541666,1190887666.6666667,1250.398793541666,13351.547666666662
2001-06-29,124.73,1.183,12969.05,1224.380005,1832360000.0,1224.380005,12969.05,0.0008023750300891752,0.05155555555555558,0.022805420871490956,-0.0014842163372423833,0.3805168386950952,-0.0014842163372423833,0.022805420871490956,121.86783333333332,1.2036333333333336,13224.577999999998,1251.3326620166665,1152839333.3333333,1251.3326620166665,13224.577999999998,120.73116666666664,1.2971083333333335,13348.391916666664,1249.6140431749993,1195524000.0,1249.6140431749993,13348.391916666664
2001-07-02,124.22,1.263,12751.18,1236.719971,1128300000.0,1236.719971,12751.18,-0.004088831876854049,0.06762468300929836,-0.016799225849233324,0.010078542568162874,-0.38423672204152026,0.010078542568162874,-0.016799225849233324,121.91149999999999,1.2022333333333335,13177.05633333333,1248.7956625166664,1151286000.0,1248.7956625166664,13177.05633333333,120.78699999999996,1.2951416666666669,13342.09983333333,1248.8983759624996,1194586083.3333333,1248.8983759624996,13342.09983333333
2001-07-03,124.48,1.272,12817.41,1234.449951,622110000.0,1234.449951,12817.41,0.002093060698760363,0.0071258907363420665,0.005194029101620368,-0.0018355165706303023,-0.4486306833289019,-0.0018355165706303023,0.005194029101620368,121.96783333333333,1.2013666666666667,13134.596999999996,1246.29799405,1130009666.6666667,1246.29799405,13134.596999999996,120.84699999999995,1.292925,13335.707833333328,1248.1300420208327,1189722833.3333333,1248.1300420208327,13335.707833333328
